system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_0_0,2020-01-08,633-683,-21.57299391018041,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_1,2020-01-08,683-733,-21.093732139735152,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_2,2020-01-08,733-783,-21.525795194493632,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_3,2020-01-08,783-833,-20.37003669890749,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_4,2020-01-08,833-883,-19.61368188306171,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_5,2020-01-08,883-933,-19.0990949518765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_6,2020-01-08,933-983,-17.701452345548205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_7,2020-01-08,983-1033,-15.255129239744596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_8,2020-01-08,1033-1083,-13.537314180300191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_9,2020-01-08,1083-1133,-11.745317118627485,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_10,2020-01-08,1133-1183,-10.067645932918076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_11,2020-01-08,1183-1233,-8.429203506658107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_12,2020-01-08,1233-1283,-6.936138701005365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_13,2020-01-08,1283-1333,-6.181853253590701,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_14,2020-01-08,1333-1383,-5.029324527648814,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_15,2020-01-08,1383-1433,-4.6324970592650025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_0,2020-01-20,633-683,-24.97612677927534,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_1,2020-01-20,683-733,-23.93338439943787,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_2,2020-01-20,733-783,-23.708970174766733,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_3,2020-01-20,783-833,-22.35539621806019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_4,2020-01-20,833-883,-20.64377731346537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_5,2020-01-20,883-933,-19.232063920158993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_6,2020-01-20,933-983,-17.48629552367636,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_7,2020-01-20,983-1033,-14.962000186571034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_8,2020-01-20,1033-1083,-13.1270916406776,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_9,2020-01-20,1083-1133,-11.747017578148379,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_10,2020-01-20,1133-1183,-9.962615233086767,"{""type"":""MultiPoint"",""coordinates"":[]}"
