system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_0_0,2020-01-08,683-733,-20.76174581533649,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_1,2020-01-08,733-783,-21.92359437209327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_2,2020-01-08,783-833,-22.11474179469955,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_3,2020-01-08,833-883,-19.513660792183014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_4,2020-01-08,883-933,-16.72798618396686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_5,2020-01-08,933-983,-16.010015921399965,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_6,2020-01-08,983-1033,-13.68683821399715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_7,2020-01-08,1033-1083,-12.253473102451983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_8,2020-01-08,1083-1133,-10.903332002703666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_9,2020-01-08,1133-1183,-8.461115654483583,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_10,2020-01-08,1183-1233,-5.656240400739751,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_11,2020-01-08,1233-1283,-6.859247649775503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_12,2020-01-08,1283-1333,-6.116623282854758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_13,2020-01-08,1333-1383,-3.7900941550553773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0_14,2020-01-08,1383-1433,-1.4635348129359331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_0,2020-01-20,683-733,-23.187540939739588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_1,2020-01-20,733-783,-22.734824250459194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_2,2020-01-20,783-833,-20.968178438596432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_3,2020-01-20,833-883,-19.762587904121055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_4,2020-01-20,883-933,-16.528294607022083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_5,2020-01-20,933-983,-15.722020018437357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_6,2020-01-20,983-1033,-12.624663192244183,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_7,2020-01-20,1033-1083,-10.911261461963603,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_8,2020-01-20,1083-1133,-11.178000675522497,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_9,2020-01-20,1133-1183,-7.792257236671144,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1_10,2020-01-20,1183-1233,-6.255714790955615,"{""type"":""MultiPoint"",""coordinates"":[]}"
