system:index,Bins,Date,Index_Type,Week_Label,.geo
0,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-01-01,NDSI,Week 01: Jan 01 – Jan 07,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-01-08,NDSI,Week 02: Jan 08 – Jan 14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-01-15,NDSI,Week 03: Jan 15 – Jan 21,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-01-22,NDSI,Week 04: Jan 22 – Jan 28,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-01-29,NDSI,Week 05: Jan 29 – Feb 04,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-02-05,NDSI,Week 06: Feb 05 – Feb 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-02-12,NDSI,Week 07: Feb 12 – Feb 18,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-02-19,NDSI,Week 08: Feb 19 – Feb 25,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-02-26,NDSI,Week 09: Feb 26 – Mar 03,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[{Mean_NDSI=-9999, Elevation Range=634.0-684.0}, {Mean_NDSI=-9999, Elevation Range=684.0-734.0}, {Mean_NDSI=-9999, Elevation Range=734.0-784.0}, {Mean_NDSI=-9999, Elevation Range=784.0-834.0}, {Mean_NDSI=-9999, Elevation Range=834.0-884.0}, {Mean_NDSI=-9999, Elevation Range=884.0-934.0}, {Mean_NDSI=-9999, Elevation Range=934.0-984.0}, {Mean_NDSI=-9999, Elevation Range=984.0-1034.0}, {Mean_NDSI=-9999, Elevation Range=1034.0-1084.0}, {Mean_NDSI=-9999, Elevation Range=1084.0-1134.0}, {Mean_NDSI=-9999, Elevation Range=1134.0-1184.0}, {Mean_NDSI=-9999, Elevation Range=1184.0-1234.0}, {Mean_NDSI=-9999, Elevation Range=1234.0-1284.0}, {Mean_NDSI=-9999, Elevation Range=1284.0-1334.0}, {Mean_NDSI=-9999, Elevation Range=1334.0-1384.0}, {Mean_NDSI=-9999, Elevation Range=1384.0-1434.0}]",2020-03-04,NDSI,Week 10: Mar 04 – Mar 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
