system:index,Bins,Date,Index_Type,Week_Label,.geo
0,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-01-01,NDSI,Week 01: Jan 01 – Jan 07,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-01-08,NDSI,Week 02: Jan 08 – Jan 14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-01-15,NDSI,Week 03: Jan 15 – Jan 21,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-01-22,NDSI,Week 04: Jan 22 – Jan 28,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-01-29,NDSI,Week 05: Jan 29 – Feb 04,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-02-05,NDSI,Week 06: Feb 05 – Feb 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-02-12,NDSI,Week 07: Feb 12 – Feb 18,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-02-19,NDSI,Week 08: Feb 19 – Feb 25,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-02-26,NDSI,Week 09: Feb 26 – Mar 03,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-03-04,NDSI,Week 10: Mar 04 – Mar 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,"[{Mean_NDSI=-9999, Elevation Range=645.0-695.0}, {Mean_NDSI=-9999, Elevation Range=695.0-745.0}, {Mean_NDSI=-9999, Elevation Range=745.0-795.0}, {Mean_NDSI=-9999, Elevation Range=795.0-845.0}, {Mean_NDSI=-9999, Elevation Range=845.0-895.0}, {Mean_NDSI=-9999, Elevation Range=895.0-945.0}, {Mean_NDSI=-9999, Elevation Range=945.0-995.0}, {Mean_NDSI=-9999, Elevation Range=995.0-1045.0}, {Mean_NDSI=-9999, Elevation Range=1045.0-1095.0}, {Mean_NDSI=-9999, Elevation Range=1095.0-1145.0}, {Mean_NDSI=-9999, Elevation Range=1145.0-1195.0}, {Mean_NDSI=-9999, Elevation Range=1195.0-1245.0}, {Mean_NDSI=-9999, Elevation Range=1245.0-1295.0}, {Mean_NDSI=-9999, Elevation Range=1295.0-1345.0}, {Mean_NDSI=-9999, Elevation Range=1345.0-1395.0}, {Mean_NDSI=-9999, Elevation Range=1395.0-1445.0}]",2020-03-11,NDSI,Week 11: Mar 11 – Mar 17,"{""type"":""MultiPoint"",""coordinates"":[]}"
